Teacher: Smith, Susan
Order: 1, 3, 5, 7, 9, 10, 8, 6, 4, 2
Class: First Period 
edwards, hazel
simmons, melvin
young, sheila
perkins, francis
turner, herminia
watkins, alberto
simmons, isaiah
Class: Second Period
perry, tara
shaw, austin
allen, marian
robinson, aubree
Class: Too Big
johnson, allen
jimenez, pearl
craig, danny
phillips, lewis
freeman, mae
payne, chad
holland, jane
davis, ken
burton, vicki
pearson, jar
dixon, connie
morales, jamie
parker, pedro
berry, marcus
Class: 4th Period
Jones, Deanna
Dixson, Brent
Herrera, Stephanie
Sutton, Victor
Williams, Sheila
Watson, Carrie
